YEAR,MONTH,STATEFIP,WTFINL,EARNWEEK2,AGE,SEX,OCC,UHRSWORKT,EDUC
2020,3,37,,592.0,37,1,5110,40,123
2020,3,27,,770.0,21,2,7750,40,60
2020,3,54,,808.0,63,2,4600,40,73
2020,3,26,,1440.0,60,1,4700,70,73
2020,3,2,,400.0,22,1,4055,40,73
2020,3,22,,1126.0,29,1,7340,40,73
2020,3,53,,2885.0,39,1,1530,40,123
2020,3,23,,1730.0,55,1,540,40,111
2020,3,36,,600.0,43,2,8760,40,111
2020,3,41,,2885.0,47,1,800,997,123
2020,3,6,,1730.0,32,2,51,50,123
2020,3,18,,180.0,18,2,4110,15,60
2020,3,6,,770.0,44,1,5040,40,81
2020,3,17,,580.0,40,2,2545,40,91
2020,3,10,,140.0,25,2,5165,997,73
2020,3,45,,66.0,18,2,2350,15,60
2020,3,38,,1230.0,34,1,6800,70,73
2020,3,18,,1146.0,51,2,705,40,73
2020,3,6,,2460.0,35,1,3740,56,111
2020,3,9,,590.0,41,2,3710,40,111
2020,3,48,,962.0,62,2,2545,40,81
2020,3,47,,1350.0,48,1,120,40,111
2020,3,41,,1620.0,51,1,7000,50,73
2020,3,30,,1650.0,40,2,705,45,125
2020,3,50,,2700.0,61,2,2205,50,125
2020,3,6,,1058.0,27,1,3740,56,91
2020,3,21,,892.0,62,1,8255,40,73
2020,3,25,,1960.0,40,2,630,50,123
2020,3,6,,2885.0,46,2,1650,44,125
2020,3,38,,500.0,41,2,4810,50,73
2020,3,40,,1250.0,61,2,3255,36,91
2020,3,16,,558.0,45,2,3602,40,92
2020,3,48,,2885.0,47,1,6260,40,73
2020,3,37,,1020.0,59,2,705,40,91
2020,3,6,,2500.0,45,1,4850,25,81
2020,3,23,,698.0,31,2,2545,40,123
2020,3,12,,400.0,19,2,4720,40,73
2020,3,20,,400.0,19,2,5740,40,73
2020,3,12,,330.0,41,2,4020,30,73
2020,3,25,,1350.0,51,1,440,997,111
2020,3,50,,2000.0,31,1,7200,40,91
2020,3,24,,1830.0,35,2,350,40,124
2020,3,27,,876.0,39,2,3401,40,91
2020,3,6,,2700.0,49,1,2810,40,123
2020,3,5,,1540.0,51,2,440,40,111
2020,3,12,,1250.0,55,1,5000,50,91
2020,3,5,,298.0,22,2,4720,997,73
2020,3,36,,108.0,22,1,9620,4,81
2020,3,54,,424.0,35,1,9130,37,73
2020,3,5,,1020.0,66,1,2850,40,111
2020,3,17,,180.0,18,2,4020,15,60
2020,3,33,,1730.0,48,1,3545,40,92
2020,3,32,,818.0,63,2,5740,40,92
2020,3,6,,924.0,65,2,1610,40,125
2020,3,54,,478.0,45,2,9645,40,40
2020,3,22,,1250.0,38,2,2400,50,92
2020,3,1,,492.0,29,2,9645,40,111
2020,3,36,,564.0,47,2,3602,40,73
2020,3,48,,360.0,43,2,9645,30,60
2020,3,17,,440.0,24,2,3930,32,81
2020,3,40,,1670.0,49,1,110,40,111
2020,3,12,,800.0,27,2,3255,40,111
2020,3,6,,540.0,31,2,4230,997,73
2020,3,37,,700.0,53,1,7150,40,81
2020,3,56,,1200.0,43,2,2360,40,111
2020,3,13,,800.0,41,1,9620,40,73
2020,3,53,,584.0,59,2,8300,38,20
2020,3,30,,962.0,45,2,120,50,30
2020,3,49,,962.0,29,2,800,40,111
2020,3,26,,1154.0,34,2,3255,40,111
2020,3,39,,1330.0,50,1,4110,55,73
2020,3,18,,630.0,61,2,4400,30,81
2020,3,51,,462.0,24,2,3620,40,73
2020,3,55,,112.0,77,2,2002,997,81
2020,3,18,,2120.0,48,1,10,45,123
2020,3,6,,160.0,29,2,4220,40,71
2020,3,33,,190.0,16,2,5240,15,50
2020,3,24,,674.0,39,1,1410,40,111
2020,3,53,,958.0,54,1,4220,40,81
2020,3,54,,284.0,73,1,3930,997,73
2020,3,17,,1770.0,29,2,800,40,111
2020,3,18,,1440.0,65,1,4760,40,111
2020,3,48,,600.0,21,2,6600,40,60
2020,3,12,,666.0,22,2,910,40,111
2020,3,35,,300.0,59,2,230,40,73
2020,3,15,,1350.0,45,2,4760,997,73
2020,3,39,,1540.0,50,2,2310,40,123
2020,3,28,,1000.0,66,1,9130,70,73
2020,3,31,,436.0,44,2,2310,30,111
2020,3,10,,768.0,75,1,6200,997,73
2020,3,6,,442.0,45,2,4840,40,81
2020,3,37,,874.0,33,2,5860,40,111
2020,3,6,,480.0,21,1,9645,40,73
2020,3,9,,1440.0,41,2,3110,24,123
2020,3,12,,420.0,49,1,6305,40,73
2020,3,9,,288.0,25,2,2350,30,111
2020,3,8,,2220.0,70,1,10,70,111
2020,3,26,,1350.0,60,1,1006,40,111
2020,3,25,,424.0,23,1,9640,45,81
2020,3,23,,1580.0,58,1,7420,40,81
2020,3,29,,136.0,20,1,1555,997,92
2020,3,48,,150.0,20,2,2360,15,81
2020,3,56,,1440.0,53,1,440,40,81
2020,3,42,,640.0,62,2,3602,40,73
2020,3,51,,136.0,65,2,5400,10,81
2020,3,12,,600.0,46,1,6305,40,73
2020,3,25,,920.0,29,2,5522,40,81
2020,3,6,,1820.0,42,2,2830,40,111
2020,3,6,,866.0,66,1,410,40,123
2020,3,42,,2400.0,40,1,1800,40,125
2020,3,29,,2700.0,41,1,4810,60,111
2020,3,21,,1440.0,55,1,810,60,111
2020,3,51,,2885.0,65,1,10,50,123
2020,3,34,,180.0,17,1,2723,15,60
2020,3,55,,96.0,64,1,9121,10,123
2020,3,30,,550.0,40,1,7130,40,73
2020,3,30,,88.0,57,2,3323,997,111
2020,3,40,,1540.0,39,2,51,40,111
2020,3,49,,96.0,62,1,910,50,111
2020,3,36,,476.0,22,2,3640,40,73
2020,3,36,,116.0,24,1,5400,997,73
2020,3,10,,450.0,17,1,4251,55,40
2020,3,30,,1630.0,39,1,2320,40,123
2020,3,22,,440.0,57,2,5400,40,73
2020,3,28,,462.0,28,2,4740,40,81
2020,3,12,,866.0,46,2,3645,45,81
2020,3,30,,428.0,52,1,6230,997,73
2020,3,55,,540.0,40,2,3255,12,91
2020,3,53,,1006.0,26,1,7200,40,91
2020,3,30,,920.0,39,1,410,40,111
2020,3,38,,124.0,38,2,4020,10,73
2020,3,12,,1250.0,38,1,10,40,111
2020,3,33,,1174.0,49,2,120,40,111
2020,3,15,,190.0,19,1,3960,20,73
2020,3,39,,560.0,21,1,6355,40,81
2020,3,34,,520.0,60,1,9645,40,111
2020,3,18,,1350.0,39,1,1530,40,92
2020,3,48,,1250.0,28,1,2310,40,123
